"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"11603","DBShop(#10)","CMS管理探索性测试模块(#348)","","取消测试法——验证删除文章的功能","","1. 打开CMS管理文章页面，点击第一个文章的删除按钮，点击弹出框的确定按钮，在加载的过程中关闭浏览器，查看删除操作是否被中断
","1. 
","","","3","功能测试","","正常","0","1","1","通过","陈若繁","2018-12-25","","0000-00-00","1","",""
"11602","DBShop(#10)","客户管理探索性测试模块(#347)","","肥皂剧测试法——验证积分管理功能","","1. 一位顾客现在已经有100积分，现在这位顾客用自己拥有的十个积分参与活动，在买东西的时候扣除积分抵扣现金，这位顾客买东西的时候提示积分不足，这是这位顾客之前申请退款的商品正好审核成功了，退还了一部分的积分，两部分积分加起来正好够这次的，在这位客户没有刷新的情况下能够购买成功
","1. 
","","","3","其他","","正常","0","2","1","阻塞","陈若繁","2018-12-25","","0000-00-00","1","",""
"11601","DBShop(#10)","客户管理探索性测试模块(#347)","","破坏测试法——查看余额功能","","1. 在没有连接网络的情况下查看余额功能
","1. 
","","","3","其他","","正常","0","2","1","阻塞","陈若繁","2018-12-25","","0000-00-00","1","",""
"11600","DBShop(#10)","CMS管理探索性测试模块(#348)","","出租车测试法——验证“管理文章”中“添加文章”的功能","","1. 从“管理文章”界面，点击右上角的“添加文章”按钮，直接添加文章
2. 从“管理文章分类”界面，选一个分类，点击“文章添加”按钮，新建一篇文章
3. 从“管理单页文章”页面，点击“添加文章”按钮，新建一篇文章
","1. 
2. 
3. 
","","","3","其他","","正常","0","1","3","通过","陈若繁","2018-12-25","","0000-00-00","1","",""
"11599","DBShop(#10)","客户管理探索性测试模块(#347)","","快递测试法——验证版本更新对数据的影响","DBShop更新版本之后，删除掉原来的数据，响应的用户数据是否会删除","","","","","3","其他","","正常","0","0","0","","陈若繁","2018-12-25","","0000-00-00","1","",""
"11598","DBShop(#10)","接口测试—address list(#384)","","验证获取地址功能","登录状态下","1. 点击左上侧青果商城，选择极速夜视版了解详情，点击立即购买，点击去结算，获取到当前地址

","1. 获取到当前地址

","","","3","功能测试","","正常","0","0","1","","孟雨轩","2018-12-25","","0000-00-00","1","",""
"11577","DBShop(#10)","接口测试—getTransfee(#385)","","验证获取运费功能","1、登录：http://study-perf.qa.netease.com
2、地址：/common/getTransportFee  ","1. /common/getTransportFee?id=1&addressDetail=浙江省_杭州市_滨江区
2. /common/getTransportFee?id=null&addressDetail=浙江省_杭州市_滨江区
3. /common/getTransportFee?id=first&addressDetail=浙江省_杭州市_滨江区
4. /common/getTransportFee?addressDetail=浙江省_杭州市_滨江区
5. /common/getTransportFee?id=1&addressDetail=zhejiang
6. /common/getTransportFee?id=1
","1. {“message“: “success“,“result“:6 ,“code“: 200}
2. {“code“:400,“message“:“请求失败“}
3. {“code“:400,“message“:“请求失败“}
4. {“code“:400,“message“:“请求失败“}
5. {“code“:400,“message“:“请求失败“}
6. {“code“:400,“message“:“请求失败“}
","","","3","接口测试","","正常","0","1","6","通过","范丽梅","2018-12-20","","0000-00-00","1","",""
"11503","DBShop(#10)","接口测试—new(#382)","","添加收货地址失败，cellPhone参数为null","1.已登录
2.请求地址为：POST/fgadmin/address/new
3.请求头为：Content_Type=application/json","1. receiverName=“李四“
cellPhone=null
addressDetail=“浙江工业大学“
province=“浙江省“
city=“杭州市“
area=“滨江区“
","1. code : 400
message : “请求参数不正确“
","","","3","接口测试","","正常","0","1","1","通过","陈若繁","2018-12-14","","0000-00-00","1","",""
"11502","DBShop(#10)","接口测试—new(#382)","","添加收货地址失败，receiverName参数为““","1.已登录
2.请求地址为：POST/fgadmin/address/new
3.请求头为：Content_Type=application/json","1. receiverName=““
cellPhone=“12345678901“
addressDetail=“浙江大学“
province=“浙江省“
city=“杭州市“
area=“滨江区“
","1. code : 400
message : “请求参数不正确“
","1. 显示为“{“message“:“may not be null“,“code“:400}”
","","3","接口测试","","正常","0","1","1","失败","陈若繁","2018-12-14","","0000-00-00","1","",""
"11501","DBShop(#10)","接口测试—new(#382)","","未登录时添加收货地址失败","1.未登录
2.请求地址为：POST/fgadmin/address/new
3.请求头为：Content_Type=application/json","1. receiverName=“张三“
cellPhone=“12345678901“
addressDetail=“浙江大学“
province=“浙江省“
city=“杭州市“
area=“滨江区“
","1. code : 400
message : “未登录“
","","","3","接口测试","","正常","0","1","1","通过","陈若繁","2018-12-14","","0000-00-00","1","",""
